baseMean log2FoldChange lfcSE stat pvalue padj
Niben261Chr01g0071007.1 24.3917030452912 8.05640806499706 1.09908066903268 6.8752078695439 6.1899531414169e-12 5.93034216869333e-10
Niben261Chr03g0166022.1 12.9819432948767 7.45158216307681 1.50914961193294 4.60629092577051 4.09914797980035e-06 0.000171210476843741
Niben261Chr07g0544004.1 45.161246586326 7.37832495858424 0.91142897781307 7.54674815704066 4.46260338002376e-14 5.3587423830934e-12
Niben261Chr18g1113002.1 12.9585762797272 6.99788256997892 1.63545838168675 3.97312621509651 7.09354366842854e-05 0.00230048281159329
Niben261Chr09g0468002.1 11.565163541177 6.82612512916241 1.496168417886 4.22821726052796 2.35550281878547e-05 0.000854326450927662
Niben261Chr17g1416003.1 10.9773200383322 6.70567246783587 1.40587183158198 4.41410968512886 1.0142652824836e-05 0.000399678993354735
Niben261Chr02g0849001.1 59.3824618665066 6.52733296920553 0.742466243232143 8.11798923405195 4.73970830667349e-16 6.82057457702034e-14
Niben261Chr14g1328008.1 20.5396254948997 6.15902874726987 1.35716768141955 4.16973438488508 3.04954846127437e-05 0.00108176796913709
Niben261Chr18g1433009.1 15.2298925589007 6.13756427535383 1.34623438878545 4.18765433591393 2.81852350215596e-05 0.0010048304850615
Niben261Chr15g0049001.1 17.2372764052355 5.95061634466354 1.42666038784479 3.82054228960377 0.000133158569774705 0.00400284383138713
Niben261Chr14g0450003.1 536.114328830612 5.613338071981 0.729859102189901 7.00592491980811 2.45359471621211e-12 2.44973512901807e-10
Niben261Chr02g1417009.1 19.2623254360754 5.58963458003335 1.14798678890606 4.43353062005476 9.27023343859217e-06 0.000368982281457245
Niben261Scf01441g0000001.1 12.8723950958016 5.57663321974594 1.16280282265126 4.36585904407328 1.26624119579404e-05 0.000488678361165073
Niben261Chr15g0757007.1 104.331241515196 5.37575167674586 0.54833197464176 8.89197037967979 6.00346993773471e-19 1.14110874581199e-16
Niben261Chr13g1272006.1 14.4827735479371 5.32803802056441 1.2028213753676 4.01392768655188 5.9716648373755e-05 0.00197081573797284
Niben261Chr03g1529005.1 25.9429720395149 5.20385657718389 1.13647894959223 4.13897378290346 3.48862809470275e-05 0.00122047044289483
Niben261Chr03g0184003.1 37.2473637806351 4.96622164140976 1.19927931397732 3.72408794961856 0.000196022586202279 0.00565997303328496
Niben261Chr03g0304003.1 121.476628538812 4.95854591595512 1.21770977647674 3.66141916742696 0.000250821999848564 0.00704760250009278
Niben261Scf03653g0000001.1 250.584624013402 4.91404462529357 0.527220364969164 8.3722953789005 5.65065883514416e-17 8.54668160154741e-15
Niben261Chr09g0917011.1 227.978693638715 4.87979525674889 1.05773188439884 4.14074239544944 3.46183567278411e-05 0.00121348606660196
Niben261Chr02g1034005.1 79.7229941765148 4.72681512008911 0.764036295970513 5.53221770010287 3.16207101446548e-08 1.89852452936083e-06
Niben261Chr07g0974001.1 49.8914471427744 4.63722318660041 1.0135284667314 4.0819999855977 4.46497995982784e-05 0.00152452687504439
Niben261Chr10g1037010.1 13.3502305492455 4.50849678908544 1.09617208268919 3.65681342590991 0.000255370113302511 0.00715841901200666
Niben261Chr02g0443004.1 19.6147773656002 4.47894409478806 0.915854590586545 4.34451509626633 1.39583644896757e-05 0.000535206156872744
Niben261Chr13g0808021.1 3003.59388899742 4.4643774515834 0.503628909630272 7.87162407831942 3.50066712260673e-15 4.67773354157645e-13
