(species=Nicotiana benthamiana)(type=Biological Process)(curator=GO)
NbL13g09910.1 = 0003674
NbL13g09910.1 = 0003824
NbL13g09910.1 = 0007275
NbL13g09910.1 = 0007568
NbL13g09910.1 = 0008150
NbL13g09910.1 = 0008152
NbL13g09910.1 = 0010150
NbL13g09910.1 = 0016491
NbL13g09910.1 = 0016679
NbL13g09910.1 = 0016682
NbL13g09910.1 = 0032501
NbL13g09910.1 = 0032502
NbL13g09910.1 = 0048366
NbL13g09910.1 = 0048367
NbL13g09910.1 = 0048731
NbL13g09910.1 = 0048827
NbL13g09910.1 = 0048856
NbL13g09910.1 = 0055114
NbL13g09910.1 = 0090693
NbL13g09910.1 = 0099402
NbL05g05590.1 = 0003674
NbL05g05590.1 = 0003824
NbL05g05590.1 = 0006725
NbL05g05590.1 = 0008150
NbL05g05590.1 = 0008152
NbL05g05590.1 = 0009058
NbL05g05590.1 = 0009698
NbL05g05590.1 = 0009699
NbL05g05590.1 = 0009808
NbL05g05590.1 = 0009809
NbL05g05590.1 = 0009987
NbL05g05590.1 = 0016491
NbL05g05590.1 = 0016722
NbL05g05590.1 = 0019438
NbL05g05590.1 = 0019748
NbL05g05590.1 = 0044237
NbL05g05590.1 = 0044249
NbL05g05590.1 = 0044550
NbL05g05590.1 = 0055114
NbL05g05590.1 = 0071704
NbL05g05590.1 = 1901360
NbL05g05590.1 = 1901362
NbL05g05590.1 = 1901576
NbL16g07000.1 = 0000003
NbL16g07000.1 = 0001101
NbL16g07000.1 = 0003006
NbL16g07000.1 = 0003674
NbL16g07000.1 = 0003824
NbL16g07000.1 = 0005488
NbL16g07000.1 = 0005575
NbL16g07000.1 = 0005622
NbL16g07000.1 = 0005623
NbL16g07000.1 = 0005634
NbL16g07000.1 = 0005737
NbL16g07000.1 = 0005975
NbL16g07000.1 = 0007154
NbL16g07000.1 = 0007165
NbL16g07000.1 = 0007275
NbL16g07000.1 = 0008150
NbL16g07000.1 = 0008152
NbL16g07000.1 = 0008289
NbL16g07000.1 = 0009056
NbL16g07000.1 = 0009058
NbL16g07000.1 = 0009311
NbL16g07000.1 = 0009312
NbL16g07000.1 = 0009653
NbL16g07000.1 = 0009719
NbL16g07000.1 = 0009725
NbL16g07000.1 = 0009739
NbL16g07000.1 = 0009755
NbL16g07000.1 = 0009791
NbL16g07000.1 = 0009892
NbL16g07000.1 = 0009908
NbL16g07000.1 = 0009937
NbL16g07000.1 = 0009939
NbL16g07000.1 = 0009966
NbL16g07000.1 = 0009967
NbL16g07000.1 = 0009987
NbL16g07000.1 = 0010033
NbL16g07000.1 = 0010154
NbL16g07000.1 = 0010325
NbL16g07000.1 = 0010331
NbL16g07000.1 = 0010468
NbL16g07000.1 = 0010476
NbL16g07000.1 = 0010605
NbL16g07000.1 = 0010629
NbL16g07000.1 = 0010646
NbL16g07000.1 = 0010647
NbL16g07000.1 = 0016051
NbL16g07000.1 = 0016787
NbL16g07000.1 = 0019222
NbL16g07000.1 = 0019840
NbL16g07000.1 = 0022414
NbL16g07000.1 = 0023051
NbL16g07000.1 = 0023052
NbL16g07000.1 = 0023056
NbL16g07000.1 = 0031406
NbL16g07000.1 = 0032501
NbL16g07000.1 = 0032502
NbL16g07000.1 = 0032870
NbL16g07000.1 = 0033993
NbL16g07000.1 = 0036094
NbL16g07000.1 = 0042221
NbL16g07000.1 = 0042562
NbL16g07000.1 = 0043167
NbL16g07000.1 = 0043168
NbL16g07000.1 = 0043177
NbL16g07000.1 = 0043226
NbL16g07000.1 = 0043227
NbL16g07000.1 = 0043229
NbL16g07000.1 = 0043231
NbL16g07000.1 = 0043900
