(species=Nicotiana benthamiana)(type=Biological Process)(curator=GO)
NbL13g09910.1 = 0003674
NbL13g09910.1 = 0003824
NbL13g09910.1 = 0007275
NbL13g09910.1 = 0007568
NbL13g09910.1 = 0008150
NbL13g09910.1 = 0008152
NbL13g09910.1 = 0010150
NbL13g09910.1 = 0016491
NbL13g09910.1 = 0016679
NbL13g09910.1 = 0016682
NbL13g09910.1 = 0032501
NbL13g09910.1 = 0032502
NbL13g09910.1 = 0048366
NbL13g09910.1 = 0048367
NbL13g09910.1 = 0048731
NbL13g09910.1 = 0048827
NbL13g09910.1 = 0048856
NbL13g09910.1 = 0055114
NbL13g09910.1 = 0090693
NbL13g09910.1 = 0099402
NbL13g21330.1 = 0001067
NbL13g21330.1 = 0003674
NbL13g21330.1 = 0003676
NbL13g21330.1 = 0003677
NbL13g21330.1 = 0003700
NbL13g21330.1 = 0005488
NbL13g21330.1 = 0006082
NbL13g21330.1 = 0006355
NbL13g21330.1 = 0006790
NbL13g21330.1 = 0006807
NbL13g21330.1 = 0006950
NbL13g21330.1 = 0006952
NbL13g21330.1 = 0008150
NbL13g21330.1 = 0008152
NbL13g21330.1 = 0009605
NbL13g21330.1 = 0009607
NbL13g21330.1 = 0009620
NbL13g21330.1 = 0009889
NbL13g21330.1 = 0009987
NbL13g21330.1 = 0010468
NbL13g21330.1 = 0010556
NbL13g21330.1 = 0016143
NbL13g21330.1 = 0019219
NbL13g21330.1 = 0019222
NbL13g21330.1 = 0019748
NbL13g21330.1 = 0019757
NbL13g21330.1 = 0019760
NbL13g21330.1 = 0031323
NbL13g21330.1 = 0031326
NbL13g21330.1 = 0043207
NbL13g21330.1 = 0043436
NbL13g21330.1 = 0043565
NbL13g21330.1 = 0044212
NbL13g21330.1 = 0044237
NbL13g21330.1 = 0044281
NbL13g21330.1 = 0050789
NbL13g21330.1 = 0050794
NbL13g21330.1 = 0050832
NbL13g21330.1 = 0050896
NbL13g21330.1 = 0051171
NbL13g21330.1 = 0051252
NbL13g21330.1 = 0051704
NbL13g21330.1 = 0051707
NbL13g21330.1 = 0060255
NbL13g21330.1 = 0065007
NbL13g21330.1 = 0071704
NbL13g21330.1 = 0080090
NbL13g21330.1 = 0097159
NbL13g21330.1 = 0098542
NbL13g21330.1 = 0140110
NbL13g21330.1 = 1901135
NbL13g21330.1 = 1901363
NbL13g21330.1 = 1901564
NbL13g21330.1 = 1901657
NbL13g21330.1 = 1903506
NbL13g21330.1 = 2000112
NbL13g21330.1 = 2001141
NbL14g01340.1 = 0000902
NbL14g01340.1 = 0003674
NbL14g01340.1 = 0005488
NbL14g01340.1 = 0005543
NbL14g01340.1 = 0005575
NbL14g01340.1 = 0005623
NbL14g01340.1 = 0005886
NbL14g01340.1 = 0006355
NbL14g01340.1 = 0008150
NbL14g01340.1 = 0008289
NbL14g01340.1 = 0009653
NbL14g01340.1 = 0009826
NbL14g01340.1 = 0009888
NbL14g01340.1 = 0009889
NbL14g01340.1 = 0009933
NbL14g01340.1 = 0009987
NbL14g01340.1 = 0010073
NbL14g01340.1 = 0010074
NbL14g01340.1 = 0010468
NbL14g01340.1 = 0010556
NbL14g01340.1 = 0016020
NbL14g01340.1 = 0016043
NbL14g01340.1 = 0016049
NbL14g01340.1 = 0019219
NbL14g01340.1 = 0019222
NbL14g01340.1 = 0019827
NbL14g01340.1 = 0031323
NbL14g01340.1 = 0031326
NbL14g01340.1 = 0032501
NbL14g01340.1 = 0032502
NbL14g01340.1 = 0032989
NbL14g01340.1 = 0040007
NbL14g01340.1 = 0043167
NbL14g01340.1 = 0043168
NbL14g01340.1 = 0044464
