(species=Nicotiana benthamiana)(type=Biological Process)(curator=GO)
NbL18g04900.1 = 0003674
NbL18g04900.1 = 0003824
NbL18g04900.1 = 0004175
NbL18g04900.1 = 0004190
NbL18g04900.1 = 0006508
NbL18g04900.1 = 0006807
NbL18g04900.1 = 0008150
NbL18g04900.1 = 0008152
NbL18g04900.1 = 0008233
NbL18g04900.1 = 0009056
NbL18g04900.1 = 0009057
NbL18g04900.1 = 0016787
NbL18g04900.1 = 0019538
NbL18g04900.1 = 0030163
NbL18g04900.1 = 0043170
NbL18g04900.1 = 0044238
NbL18g04900.1 = 0070001
NbL18g04900.1 = 0070011
NbL18g04900.1 = 0071704
NbL18g04900.1 = 0140096
NbL18g04900.1 = 1901564
NbL18g04900.1 = 1901565
NbL18g04900.1 = 1901575
NbL04g19410.1 = 0003674
NbL04g19410.1 = 0003824
NbL04g19410.1 = 0004842
NbL04g19410.1 = 0006464
NbL04g19410.1 = 0006508
NbL04g19410.1 = 0006511
NbL04g19410.1 = 0006807
NbL04g19410.1 = 0008150
NbL04g19410.1 = 0008152
NbL04g19410.1 = 0009056
NbL04g19410.1 = 0009057
NbL04g19410.1 = 0009987
NbL04g19410.1 = 0010498
NbL04g19410.1 = 0016567
NbL04g19410.1 = 0016740
NbL04g19410.1 = 0019538
NbL04g19410.1 = 0019787
NbL04g19410.1 = 0019941
NbL04g19410.1 = 0030163
NbL04g19410.1 = 0032446
NbL04g19410.1 = 0036211
NbL04g19410.1 = 0043161
NbL04g19410.1 = 0043170
NbL04g19410.1 = 0043412
NbL04g19410.1 = 0043632
NbL04g19410.1 = 0044237
NbL04g19410.1 = 0044238
NbL04g19410.1 = 0044248
NbL04g19410.1 = 0044257
NbL04g19410.1 = 0044260
NbL04g19410.1 = 0044265
NbL04g19410.1 = 0044267
NbL04g19410.1 = 0051603
NbL04g19410.1 = 0061630
NbL04g19410.1 = 0061659
NbL04g19410.1 = 0070647
NbL04g19410.1 = 0071704
NbL04g19410.1 = 0140096
NbL04g19410.1 = 1901564
NbL04g19410.1 = 1901565
NbL04g19410.1 = 1901575
NbL13g23490.1 = 0003674
NbL13g23490.1 = 0003824
NbL13g23490.1 = 0004497
NbL13g23490.1 = 0005575
NbL13g23490.1 = 0008150
NbL13g23490.1 = 0008152
NbL13g23490.1 = 0009058
NbL13g23490.1 = 0016020
NbL13g23490.1 = 0016491
NbL13g23490.1 = 0016705
NbL13g23490.1 = 0016709
NbL13g23490.1 = 0019748
NbL13g23490.1 = 0044550
NbL13g23490.1 = 0055114
NbL02g05760.1 = 0005575
NbL02g05760.1 = 0005623
NbL02g05760.1 = 0006810
NbL02g05760.1 = 0006811
NbL02g05760.1 = 0006812
NbL02g05760.1 = 0006885
NbL02g05760.1 = 0008150
NbL02g05760.1 = 0012505
NbL02g05760.1 = 0015672
NbL02g05760.1 = 0042592
NbL02g05760.1 = 0044464
NbL02g05760.1 = 0048878
NbL02g05760.1 = 0050801
NbL02g05760.1 = 0051179
NbL02g05760.1 = 0051234
NbL02g05760.1 = 0055067
NbL02g05760.1 = 0055080
NbL02g05760.1 = 0065007
NbL02g05760.1 = 0065008
NbL02g05760.1 = 0098771
NbL02g04320.1 = 0001101
NbL02g04320.1 = 0003674
NbL02g04320.1 = 0003700
NbL02g04320.1 = 0006355
NbL02g04320.1 = 0006950
NbL02g04320.1 = 0006952
NbL02g04320.1 = 0007154
NbL02g04320.1 = 0007165
NbL02g04320.1 = 0008150
NbL02g04320.1 = 0009605
NbL02g04320.1 = 0009607
NbL02g04320.1 = 0009620
NbL02g04320.1 = 0009719
NbL02g04320.1 = 0009725
NbL02g04320.1 = 0009753
NbL02g04320.1 = 0009755
NbL02g04320.1 = 0009867
NbL02g04320.1 = 0009889
NbL02g04320.1 = 0009987
NbL02g04320.1 = 0010033
NbL02g04320.1 = 0010468
NbL02g04320.1 = 0010556
NbL02g04320.1 = 0019219
NbL02g04320.1 = 0019222
NbL02g04320.1 = 0023052
NbL02g04320.1 = 0031323
NbL02g04320.1 = 0031326
NbL02g04320.1 = 0032870
NbL02g04320.1 = 0042221
NbL02g04320.1 = 0043207
NbL02g04320.1 = 0050789
NbL02g04320.1 = 0050794
NbL02g04320.1 = 0050832
NbL02g04320.1 = 0050896
NbL02g04320.1 = 0051171
NbL02g04320.1 = 0051252
NbL02g04320.1 = 0051704
NbL02g04320.1 = 0051707
NbL02g04320.1 = 0051716
NbL02g04320.1 = 0060255
NbL02g04320.1 = 0065007
NbL02g04320.1 = 0070887
NbL02g04320.1 = 0071229
NbL02g04320.1 = 0071310
NbL02g04320.1 = 0071395
NbL02g04320.1 = 0071495
NbL02g04320.1 = 0080090
NbL02g04320.1 = 0098542
NbL02g04320.1 = 0140110
NbL02g04320.1 = 1901700
NbL02g04320.1 = 1901701
NbL02g04320.1 = 1903506
NbL02g04320.1 = 2000112
NbL02g04320.1 = 2001141
NbL04g09340.1 = 0001101
NbL04g09340.1 = 0003674
NbL04g09340.1 = 0003700
NbL04g09340.1 = 0006355
NbL04g09340.1 = 0006950
NbL04g09340.1 = 0006952
NbL04g09340.1 = 0007154
NbL04g09340.1 = 0007165
NbL04g09340.1 = 0008150
NbL04g09340.1 = 0009605
NbL04g09340.1 = 0009607
NbL04g09340.1 = 0009617
NbL04g09340.1 = 0009620
NbL04g09340.1 = 0009719
NbL04g09340.1 = 0009725
NbL04g09340.1 = 0009753
NbL04g09340.1 = 0009755
NbL04g09340.1 = 0009867
NbL04g09340.1 = 0009889
NbL04g09340.1 = 0009987
NbL04g09340.1 = 0010033
NbL04g09340.1 = 0010468
NbL04g09340.1 = 0010556
NbL04g09340.1 = 0019219
NbL04g09340.1 = 0019222
NbL04g09340.1 = 0023052
NbL04g09340.1 = 0031323
NbL04g09340.1 = 0031326
NbL04g09340.1 = 0032870
NbL04g09340.1 = 0042221
NbL04g09340.1 = 0042742
NbL04g09340.1 = 0043207
NbL04g09340.1 = 0050789
NbL04g09340.1 = 0050794
NbL04g09340.1 = 0050832
NbL04g09340.1 = 0050896
NbL04g09340.1 = 0051171
NbL04g09340.1 = 0051252
NbL04g09340.1 = 0051704
NbL04g09340.1 = 0051707
NbL04g09340.1 = 0051716
NbL04g09340.1 = 0060255
NbL04g09340.1 = 0065007
NbL04g09340.1 = 0070887
NbL04g09340.1 = 0071229
NbL04g09340.1 = 0071310
NbL04g09340.1 = 0071395
NbL04g09340.1 = 0071495
NbL04g09340.1 = 0080090
NbL04g09340.1 = 0098542
NbL04g09340.1 = 0140110
NbL04g09340.1 = 1901700
NbL04g09340.1 = 1901701
NbL04g09340.1 = 1903506
NbL04g09340.1 = 2000112
NbL04g09340.1 = 2001141
NbL06g14120.1 = 0003674
NbL06g14120.1 = 0005215
NbL06g14120.1 = 0005575
NbL06g14120.1 = 0005622
NbL06g14120.1 = 0005623
NbL06g14120.1 = 0005737
NbL06g14120.1 = 0005739
