(species=Nicotiana benthamiana)(type=Biological Process)(curator=GO)
NbL17g21590.1 = 0001101
NbL17g21590.1 = 0003674
NbL17g21590.1 = 0003824
NbL17g21590.1 = 0005575
NbL17g21590.1 = 0005622
NbL17g21590.1 = 0005623
NbL17g21590.1 = 0005737
NbL17g21590.1 = 0005829
NbL17g21590.1 = 0006629
NbL17g21590.1 = 0006714
NbL17g21590.1 = 0006720
NbL17g21590.1 = 0006721
NbL17g21590.1 = 0006950
NbL17g21590.1 = 0008150
NbL17g21590.1 = 0008152
NbL17g21590.1 = 0008299
NbL17g21590.1 = 0008610
NbL17g21590.1 = 0009058
NbL17g21590.1 = 0009507
NbL17g21590.1 = 0009532
NbL17g21590.1 = 0009536
NbL17g21590.1 = 0009570
NbL17g21590.1 = 0009605
NbL17g21590.1 = 0009607
NbL17g21590.1 = 0009611
NbL17g21590.1 = 0009625
NbL17g21590.1 = 0009719
NbL17g21590.1 = 0009725
NbL17g21590.1 = 0009753
NbL17g21590.1 = 0009975
NbL17g21590.1 = 0009987
NbL17g21590.1 = 0010033
NbL17g21590.1 = 0010333
NbL17g21590.1 = 0010334
NbL17g21590.1 = 0016098
NbL17g21590.1 = 0016099
NbL17g21590.1 = 0016106
NbL17g21590.1 = 0016114
NbL17g21590.1 = 0016829
NbL17g21590.1 = 0016835
NbL17g21590.1 = 0016838
NbL17g21590.1 = 0034002
NbL17g21590.1 = 0034768
NbL17g21590.1 = 0042214
NbL17g21590.1 = 0042221
NbL17g21590.1 = 0043207
NbL17g21590.1 = 0043226
NbL17g21590.1 = 0043227
NbL17g21590.1 = 0043229
NbL17g21590.1 = 0043231
NbL17g21590.1 = 0043692
NbL17g21590.1 = 0043693
NbL17g21590.1 = 0044237
NbL17g21590.1 = 0044238
NbL17g21590.1 = 0044249
NbL17g21590.1 = 0044255
NbL17g21590.1 = 0044422
NbL17g21590.1 = 0044424
NbL17g21590.1 = 0044434
NbL17g21590.1 = 0044435
NbL17g21590.1 = 0044444
NbL17g21590.1 = 0044446
NbL17g21590.1 = 0044464
NbL17g21590.1 = 0046246
NbL17g21590.1 = 0050550
NbL17g21590.1 = 0050551
NbL17g21590.1 = 0050552
NbL17g21590.1 = 0050896
NbL17g21590.1 = 0051704
NbL17g21590.1 = 0051707
NbL17g21590.1 = 0051761
NbL17g21590.1 = 0051762
NbL17g21590.1 = 0052578
NbL17g21590.1 = 0071704
NbL17g21590.1 = 0080015
NbL17g21590.1 = 0080027
NbL17g21590.1 = 1901576
NbL17g21590.1 = 1901700
NbL04g12030.1 = 0003674
NbL04g12030.1 = 0003824
NbL04g12030.1 = 0006082
NbL04g12030.1 = 0006520
NbL04g12030.1 = 0006807
NbL04g12030.1 = 0008150
NbL04g12030.1 = 0008152
NbL04g12030.1 = 0008652
NbL04g12030.1 = 0009058
NbL04g12030.1 = 0009987
NbL04g12030.1 = 0016053
NbL04g12030.1 = 0016829
NbL04g12030.1 = 0016846
NbL04g12030.1 = 0016847
NbL04g12030.1 = 0018871
NbL04g12030.1 = 0019752
NbL04g12030.1 = 0032787
NbL04g12030.1 = 0042218
NbL04g12030.1 = 0043436
NbL04g12030.1 = 0044237
NbL04g12030.1 = 0044238
NbL04g12030.1 = 0044249
NbL04g12030.1 = 0044281
NbL04g12030.1 = 0044283
NbL04g12030.1 = 0046394
NbL04g12030.1 = 0071704
NbL04g12030.1 = 0072330
NbL04g12030.1 = 1901564
NbL04g12030.1 = 1901566
NbL04g12030.1 = 1901576
NbL04g12030.1 = 1901605
NbL04g12030.1 = 1901607
NbL09g10700.1 = 0001101
NbL09g10700.1 = 0002213
NbL09g10700.1 = 0003674
NbL09g10700.1 = 0003824
NbL09g10700.1 = 0003993
NbL09g10700.1 = 0005488
NbL09g10700.1 = 0005515
NbL09g10700.1 = 0005575
NbL09g10700.1 = 0005622
NbL09g10700.1 = 0005623
NbL09g10700.1 = 0005737
NbL09g10700.1 = 0005773
NbL09g10700.1 = 0005829
NbL09g10700.1 = 0005840
NbL09g10700.1 = 0006793
NbL09g10700.1 = 0006796
NbL09g10700.1 = 0006950
NbL09g10700.1 = 0006952
NbL09g10700.1 = 0006979
NbL09g10700.1 = 0008134
NbL09g10700.1 = 0008150
NbL09g10700.1 = 0008152
NbL09g10700.1 = 0009605
NbL09g10700.1 = 0009607
NbL09g10700.1 = 0009611
NbL09g10700.1 = 0009625
NbL09g10700.1 = 0009719
NbL09g10700.1 = 0009725
NbL09g10700.1 = 0009753
NbL09g10700.1 = 0009987
NbL09g10700.1 = 0010033
NbL09g10700.1 = 0010035
NbL09g10700.1 = 0010038
NbL09g10700.1 = 0016311
NbL09g10700.1 = 0016787
NbL09g10700.1 = 0016788
NbL09g10700.1 = 0016791
NbL09g10700.1 = 0022626
NbL09g10700.1 = 0032991
NbL09g10700.1 = 0042221
NbL09g10700.1 = 0042578
NbL09g10700.1 = 0043207
NbL09g10700.1 = 0043226
NbL09g10700.1 = 0043227
NbL09g10700.1 = 0043228
NbL09g10700.1 = 0043229
NbL09g10700.1 = 0043231
NbL09g10700.1 = 0043232
NbL09g10700.1 = 0044237
NbL09g10700.1 = 0044424
NbL09g10700.1 = 0044444
NbL09g10700.1 = 0044445
NbL09g10700.1 = 0044464
NbL09g10700.1 = 0046688
NbL09g10700.1 = 0050896
NbL09g10700.1 = 0051704
NbL09g10700.1 = 0051707
NbL09g10700.1 = 1901700
NbL09g10700.1 = 1990904
NbL10g06670.1 = 0003674
NbL10g06670.1 = 0003824
NbL10g06670.1 = 0005575
NbL10g06670.1 = 0005576
NbL10g06670.1 = 0005615
NbL10g06670.1 = 0005622
NbL10g06670.1 = 0005623
NbL10g06670.1 = 0005737
NbL10g06670.1 = 0005773
NbL10g06670.1 = 0005783
NbL10g06670.1 = 0005788
NbL10g06670.1 = 0006725
NbL10g06670.1 = 0006807
NbL10g06670.1 = 0008131
NbL10g06670.1 = 0008150
NbL10g06670.1 = 0008152
NbL10g06670.1 = 0009056
NbL10g06670.1 = 0009308
NbL10g06670.1 = 0009690
NbL10g06670.1 = 0009823
NbL10g06670.1 = 0009987
NbL10g06670.1 = 0010817
NbL10g06670.1 = 0012505
NbL10g06670.1 = 0016491
NbL10g06670.1 = 0016638
NbL10g06670.1 = 0016641
NbL10g06670.1 = 0016645
NbL10g06670.1 = 0019139
NbL10g06670.1 = 0031974
NbL10g06670.1 = 0034754
NbL10g06670.1 = 0042445
NbL10g06670.1 = 0042447
NbL10g06670.1 = 0043226
NbL10g06670.1 = 0043227
NbL10g06670.1 = 0043229
NbL10g06670.1 = 0043231
NbL10g06670.1 = 0043233
NbL10g06670.1 = 0044237
NbL10g06670.1 = 0044421
NbL10g06670.1 = 0044422
NbL10g06670.1 = 0044424
